task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	f1/a434c5	131414	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267906)	COMPLETED	0	2024-06-11 11:10:05.793	9s	8ms	127.6%	0	0	103.4 KB	902 B
4	d8/bd6a5c	131512	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267907)	COMPLETED	0	2024-06-11 11:10:05.815	10.2s	7ms	72.2%	0	0	103.4 KB	901 B
2	d2/6580b9	131388	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267905)	COMPLETED	0	2024-06-11 11:10:05.783	11.5s	8ms	126.1%	0	0	103.4 KB	902 B
5	38/59adf7	131600	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267908)	COMPLETED	0	2024-06-11 11:10:05.865	11.5s	8ms	126.8%	0	0	103.4 KB	902 B
6	63/63af80	131608	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267909)	COMPLETED	0	2024-06-11 11:10:05.871	11.5s	15ms	100.6%	2.4 MB	3.9 MB	103.4 KB	902 B
8	12/ea81b1	131843	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267911)	COMPLETED	0	2024-06-11 11:10:05.987	15s	8ms	124.6%	0	0	103.4 KB	902 B
7	2e/420cb5	131755	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267910)	COMPLETED	0	2024-06-11 11:10:05.918	15.2s	11ms	107.2%	0	0	103.4 KB	902 B
10	eb/a47b85	132112	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267913)	COMPLETED	0	2024-06-11 11:10:06.181	15.1s	9ms	114.9%	0	0	103.4 KB	902 B
9	f6/a8489d	132002	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267912)	COMPLETED	0	2024-06-11 11:10:06.085	15.3s	8ms	108.3%	0	0	103.4 KB	902 B
12	cc/f88c59	132303	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267915)	COMPLETED	0	2024-06-11 11:10:06.323	17s	7ms	67.5%	0	0	103.4 KB	901 B
11	30/5f42dc	132216	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267914)	COMPLETED	0	2024-06-11 11:10:06.262	17.1s	8ms	126.8%	0	0	103.4 KB	902 B
13	73/4eda66	132596	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267916)	COMPLETED	0	2024-06-11 11:10:06.401	19.9s	9ms	109.5%	0	0	103.4 KB	902 B
14	fc/f0b2cc	132760	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267917)	COMPLETED	0	2024-06-11 11:10:06.490	20.9s	9ms	165.1%	0	0	103.4 KB	902 B
15	8e/7971de	133112	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267918)	COMPLETED	0	2024-06-11 11:10:06.646	22.3s	10ms	136.2%	0	0	103.4 KB	902 B
16	1d/4edaa8	133224	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267919)	COMPLETED	0	2024-06-11 11:10:06.730	22.6s	9ms	119.5%	0	0	103.4 KB	902 B
18	ea/3e4df8	133462	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267921)	COMPLETED	0	2024-06-11 11:10:06.887	23.5s	11ms	140.5%	0	0	103.4 KB	902 B
17	b6/e38ca6	133370	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267920)	COMPLETED	0	2024-06-11 11:10:06.818	24.2s	8ms	115.6%	0	0	103.4 KB	902 B
21	4b/cca975	133894	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267924)	COMPLETED	0	2024-06-11 11:10:07.108	24.2s	11ms	90.4%	0	0	103.4 KB	901 B
19	50/b5e5bc	133569	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267922)	COMPLETED	0	2024-06-11 11:10:06.967	24.5s	10ms	114.9%	0	0	103.4 KB	902 B
20	0f/c42508	133835	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267923)	COMPLETED	0	2024-06-11 11:10:07.048	26.3s	14ms	118.6%	0	0	103.4 KB	902 B
22	82/e331a6	133981	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267925)	COMPLETED	0	2024-06-11 11:10:07.185	26.2s	40ms	55.6%	3.2 MB	6.4 MB	103.4 KB	901 B
23	75/9ec019	134033	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267926)	COMPLETED	0	2024-06-11 11:10:07.250	26.1s	9ms	78.5%	0	0	103.4 KB	901 B
24	bb/69ef1a	134082	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267927)	COMPLETED	0	2024-06-11 11:10:07.319	26s	36ms	40.5%	3.2 MB	6.4 MB	103.4 KB	901 B
25	ce/7e96ca	134368	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267928)	COMPLETED	0	2024-06-11 11:10:07.407	26s	39ms	37.0%	3.2 MB	6.4 MB	103.4 KB	901 B
26	f7/08874d	134435	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267929)	COMPLETED	0	2024-06-11 11:10:07.480	25.9s	8ms	120.9%	0	0	103.4 KB	902 B
27	40/a7e748	134480	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267930)	COMPLETED	0	2024-06-11 11:10:07.548	27.8s	11ms	96.3%	0	0	103.4 KB	901 B
28	69/a95f4f	134536	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267931)	COMPLETED	0	2024-06-11 11:10:07.607	28.7s	12ms	134.5%	0	0	103.4 KB	902 B
29	39/a13a6d	134539	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267932)	COMPLETED	0	2024-06-11 11:10:07.610	28.7s	11ms	135.7%	0	0	103.4 KB	902 B
31	39/ee1b92	134623	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267934)	COMPLETED	0	2024-06-11 11:10:07.659	29.2s	8ms	120.9%	0	0	103.4 KB	902 B
30	7e/2668b5	134629	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267933)	COMPLETED	0	2024-06-11 11:10:07.662	29.2s	8ms	128.4%	0	0	103.4 KB	902 B
32	51/23003f	134729	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267935)	COMPLETED	0	2024-06-11 11:10:07.709	29.1s	11ms	160.0%	0	0	103.4 KB	902 B
33	11/591fc4	134800	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267936)	COMPLETED	0	2024-06-11 11:10:07.789	29s	11ms	141.2%	2.4 MB	3.9 MB	103.4 KB	902 B
34	5f/e898bd	134846	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267937)	COMPLETED	0	2024-06-11 11:10:07.868	29s	8ms	172.4%	0	0	103.4 KB	902 B
35	c6/fdae04	134878	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267938)	COMPLETED	0	2024-06-11 11:10:07.948	28.9s	40ms	55.9%	2.4 MB	3.9 MB	103.4 KB	901 B
37	b2/f2ea69	135180	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267940)	COMPLETED	0	2024-06-11 11:10:08.073	30.7s	7ms	71.7%	0	0	103.4 KB	901 B
38	1f/d8a82b	135219	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267941)	COMPLETED	0	2024-06-11 11:10:08.138	31.8s	14ms	134.5%	0	0	103.4 KB	902 B
36	1e/d9b7af	134969	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267939)	COMPLETED	0	2024-06-11 11:10:08.022	32.7s	7ms	141.8%	0	0	103.4 KB	902 B
39	70/b368d5	135257	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267942)	COMPLETED	0	2024-06-11 11:10:08.185	34.4s	121ms	15.9%	3.2 MB	6.4 MB	103.4 KB	901 B
41	79/4e6c16	135642	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267944)	COMPLETED	0	2024-06-11 11:10:08.317	36.4s	7ms	126.8%	0	0	103.4 KB	902 B
50	10/61e91b	136266	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267953)	COMPLETED	0	2024-06-11 11:10:09.017	36.2s	10ms	96.7%	0	0	103.4 KB	901 B
40	b1/e61680	135444	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267943)	COMPLETED	0	2024-06-11 11:10:08.261	37.1s	9ms	185.7%	0	0	103.4 KB	902 B
42	65/5a07a0	135698	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267945)	COMPLETED	0	2024-06-11 11:10:08.398	37s	8ms	167.7%	0	0	103.4 KB	902 B
43	e0/0d80f6	135816	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267946)	COMPLETED	0	2024-06-11 11:10:08.476	36.9s	10ms	110.1%	0	0	103.4 KB	902 B
44	ea/9e580e	135862	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267947)	COMPLETED	0	2024-06-11 11:10:08.562	36.8s	10ms	145.1%	0	0	103.4 KB	902 B
45	26/708362	135900	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267948)	COMPLETED	0	2024-06-11 11:10:08.640	36.7s	9ms	152.9%	0	0	103.4 KB	902 B
46	f3/94ce03	135977	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267949)	COMPLETED	0	2024-06-11 11:10:08.718	36.6s	11ms	90.0%	0	0	103.4 KB	901 B
47	d2/6b43d6	136085	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267950)	COMPLETED	0	2024-06-11 11:10:08.789	36.6s	11ms	134.5%	0	0	103.4 KB	902 B
48	7d/84c47b	136127	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267951)	COMPLETED	0	2024-06-11 11:10:08.881	36.5s	7ms	134.2%	0	0	103.4 KB	902 B
49	4a/6abf52	136207	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267952)	COMPLETED	0	2024-06-11 11:10:08.946	36.4s	11ms	119.1%	0	0	103.4 KB	902 B
51	b9/8a44de	136332	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267954)	COMPLETED	0	2024-06-11 11:10:09.093	37s	300ms	6.5%	3.2 MB	6.4 MB	103.4 KB	900 B
52	83/722416	136374	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267955)	COMPLETED	0	2024-06-11 11:10:09.132	38.5s	259ms	7.5%	3.2 MB	6.4 MB	103.4 KB	900 B
53	a7/7e9197	136462	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267956)	COMPLETED	0	2024-06-11 11:10:09.200	38.7s	260ms	7.5%	3.2 MB	6.4 MB	103.4 KB	900 B
54	62/ff3ae2	141619	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267957)	COMPLETED	0	2024-06-11 11:10:14.756	42.4s	10ms	96.7%	0	0	103.4 KB	901 B
55	01/d96ce5	142752	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267958)	COMPLETED	0	2024-06-11 11:10:15.983	46.7s	8ms	133.9%	0	0	103.4 KB	902 B
58	a6/ad88d9	144465	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267961)	COMPLETED	0	2024-06-11 11:10:17.388	45.5s	10ms	161.7%	0	0	103.4 KB	902 B
56	42/67018d	144406	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267959)	COMPLETED	0	2024-06-11 11:10:17.276	45.7s	12ms	147.2%	0	0	103.4 KB	902 B
57	08/6b23b7	144442	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267960)	COMPLETED	0	2024-06-11 11:10:17.377	45.6s	10ms	104.0%	0	0	103.4 KB	902 B
59	5e/ec9898	148485	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267962)	COMPLETED	0	2024-06-11 11:10:20.994	45.7s	13ms	149.3%	0	0	103.4 KB	902 B
60	f3/70cacf	148793	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267963)	COMPLETED	0	2024-06-11 11:10:21.136	47.4s	10ms	138.1%	0	0	103.4 KB	902 B
61	82/b850c5	148854	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267964)	COMPLETED	0	2024-06-11 11:10:21.308	47.6s	8ms	143.8%	0	0	103.4 KB	902 B
62	16/d14cdd	149110	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267965)	COMPLETED	0	2024-06-11 11:10:21.404	50.8s	8ms	119.5%	0	0	103.4 KB	902 B
64	cb/114168	150971	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267967)	COMPLETED	0	2024-06-11 11:10:23.393	55.2s	10ms	132.5%	0	0	103.4 KB	902 B
63	cb/9cb15f	150824	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267966)	COMPLETED	0	2024-06-11 11:10:23.292	57s	12ms	193.8%	0	0	103.4 KB	902 B
65	76/7e308d	152798	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267968)	COMPLETED	0	2024-06-11 11:10:26.357	57.2s	7ms	68.9%	0	0	103.4 KB	901 B
66	f2/a80907	153524	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267969)	COMPLETED	0	2024-06-11 11:10:27.393	1m	7ms	125.3%	0	0	103.4 KB	902 B
79	e5/4c78ec	159485	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267982)	COMPLETED	0	2024-06-11 11:10:35.381	53s	13ms	175.3%	0	0	103.4 KB	902 B
80	67/e42b24	159921	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267983)	COMPLETED	0	2024-06-11 11:10:36.356	52s	13ms	90.4%	0	0	103.4 KB	901 B
81	cc/ac6157	159923	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267984)	COMPLETED	0	2024-06-11 11:10:36.362	52s	11ms	139.3%	0	0	103.4 KB	902 B
82	21/056d1b	160593	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267985)	COMPLETED	0	2024-06-11 11:10:36.820	51.6s	8ms	165.1%	0	0	103.4 KB	902 B
83	dd/e56550	160595	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267986)	COMPLETED	0	2024-06-11 11:10:36.825	51.6s	8ms	114.3%	0	0	103.4 KB	902 B
84	40/4416bb	160606	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267987)	COMPLETED	0	2024-06-11 11:10:36.830	51.6s	9ms	126.1%	0	0	103.4 KB	902 B
86	0d/1c1ac2	160614	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267989)	COMPLETED	0	2024-06-11 11:10:36.835	51.6s	8ms	64.6%	0	0	103.4 KB	901 B
85	db/f6463d	160629	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267988)	COMPLETED	0	2024-06-11 11:10:36.839	51.6s	198ms	9.9%	3.2 MB	6.4 MB	103.4 KB	900 B
87	3a/04f209	160650	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267990)	COMPLETED	0	2024-06-11 11:10:36.844	51.6s	7ms	151.8%	0	0	103.4 KB	902 B
67	b4/21e6a8	154970	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267970)	COMPLETED	0	2024-06-11 11:10:28.981	59.5s	10ms	150.7%	0	0	103.4 KB	902 B
68	36/56d84d	155262	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267971)	COMPLETED	0	2024-06-11 11:10:29.311	59.2s	12ms	132.8%	2.4 MB	3.9 MB	103.4 KB	902 B
69	f4/c715fc	156048	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267972)	COMPLETED	0	2024-06-11 11:10:30.352	58.1s	9ms	126.8%	0	0	103.4 KB	902 B
70	8b/5e253b	156588	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267973)	COMPLETED	0	2024-06-11 11:10:31.039	57.4s	9ms	108.3%	0	0	103.4 KB	902 B
71	06/484d2c	157015	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267974)	COMPLETED	0	2024-06-11 11:10:31.353	57.1s	9ms	183.5%	0	0	103.4 KB	902 B
72	03/92b431	157118	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267975)	COMPLETED	0	2024-06-11 11:10:31.450	57s	9ms	122.4%	0	0	103.4 KB	902 B
73	b1/7118f5	158120	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267976)	COMPLETED	0	2024-06-11 11:10:33.338	55.1s	8ms	130.8%	0	0	103.4 KB	902 B
74	69/619135	158136	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267977)	COMPLETED	0	2024-06-11 11:10:33.357	55.1s	10ms	104.5%	0	0	103.4 KB	902 B
75	e5/4e566d	158142	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267978)	COMPLETED	0	2024-06-11 11:10:33.360	55.1s	29ms	53.5%	3.2 MB	6.4 MB	103.4 KB	901 B
76	5d/232911	158148	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267979)	COMPLETED	0	2024-06-11 11:10:33.362	55.1s	10ms	131.1%	0	0	103.4 KB	902 B
77	d8/26a65c	158154	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267980)	COMPLETED	0	2024-06-11 11:10:33.364	55.1s	9ms	123.1%	0	0	103.4 KB	902 B
78	78/1d8114	158166	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267981)	COMPLETED	0	2024-06-11 11:10:33.366	55.1s	9ms	120.2%	0	0	103.4 KB	902 B
88	d6/b36cad	161584	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267991)	COMPLETED	0	2024-06-11 11:10:38.781	52.6s	7ms	74.8%	0	0	103.4 KB	901 B
89	ca/4e57d3	162934	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267992)	COMPLETED	0	2024-06-11 11:10:39.984	57.9s	7ms	135.9%	0	0	103.4 KB	902 B
90	25/e73d22	163438	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267993)	COMPLETED	0	2024-06-11 11:10:40.724	58.4s	8ms	104.5%	0	0	103.4 KB	902 B
91	19/6f04ef	164455	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267994)	COMPLETED	0	2024-06-11 11:10:42.622	57.3s	8ms	123.1%	0	0	103.4 KB	902 B
93	ad/ecfa42	166070	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267996)	COMPLETED	0	2024-06-11 11:10:45.261	55.5s	10ms	136.8%	0	0	103.4 KB	902 B
92	62/5ad34c	165922	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267995)	COMPLETED	0	2024-06-11 11:10:44.706	58s	10ms	100.0%	0	0	103.4 KB	902 B
95	23/3233f7	166350	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267998)	COMPLETED	0	2024-06-11 11:10:45.363	1m	8ms	64.6%	0	0	103.4 KB	901 B
94	ca/286dda	166333	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267997)	COMPLETED	0	2024-06-11 11:10:45.360	1m 1s	13ms	82.2%	0	0	103.4 KB	901 B
97	89/90c94e	166373	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268000)	COMPLETED	0	2024-06-11 11:10:45.366	1m 1s	9ms	118.9%	0	0	103.4 KB	902 B
98	fc/f05c91	166400	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268001)	COMPLETED	0	2024-06-11 11:10:45.369	1m 1s	8ms	163.4%	0	0	103.4 KB	902 B
96	26/9f93d4	166425	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1267999)	COMPLETED	0	2024-06-11 11:10:45.372	1m 1s	55ms	42.4%	3.2 MB	6.4 MB	103.4 KB	901 B
99	34/95e60f	166456	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268002)	COMPLETED	0	2024-06-11 11:10:45.375	1m 1s	9ms	159.2%	0	0	103.4 KB	902 B
100	fa/d451d3	166498	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268003)	COMPLETED	0	2024-06-11 11:10:45.378	1m 1s	301ms	9.7%	3.2 MB	6.4 MB	103.4 KB	900 B
101	9c/eb39d1	166551	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268004)	COMPLETED	0	2024-06-11 11:10:45.381	1m 1s	8ms	113.0%	0	0	103.4 KB	902 B
102	29/89330c	166610	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268005)	COMPLETED	0	2024-06-11 11:10:45.384	1m 1s	8ms	124.6%	0	0	103.4 KB	902 B
103	46/5d46fa	167137	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268006)	COMPLETED	0	2024-06-11 11:10:46.117	1m	9ms	177.3%	0	0	103.4 KB	902 B
104	5d/43c9db	168533	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268007)	COMPLETED	0	2024-06-11 11:10:47.627	59s	8ms	200.0%	0	0	103.4 KB	902 B
105	c6/88dad2	168923	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268008)	COMPLETED	0	2024-06-11 11:10:47.884	58.7s	340ms	5.7%	3.2 MB	6.4 MB	103.4 KB	900 B
106	fb/7f7a3f	176317	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268009)	COMPLETED	0	2024-06-11 11:10:57.150	55.7s	9ms	129.2%	0	0	103.4 KB	902 B
108	e3/6148ca	179777	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268011)	COMPLETED	0	2024-06-11 11:11:02.849	50.8s	8ms	129.2%	0	0	103.4 KB	902 B
109	d9/3a053f	180027	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268012)	COMPLETED	0	2024-06-11 11:11:02.949	50.7s	8ms	133.3%	0	0	103.4 KB	902 B
110	ff/f9dfbc	180030	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268013)	COMPLETED	0	2024-06-11 11:11:02.952	50.7s	11ms	139.9%	0	0	103.4 KB	902 B
111	54/fb1691	182463	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268014)	COMPLETED	0	2024-06-11 11:11:06.725	46.9s	11ms	108.3%	2.4 MB	3.9 MB	103.4 KB	902 B
112	51/583329	183951	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268015)	COMPLETED	0	2024-06-11 11:11:08.571	45.1s	10ms	140.5%	0	0	103.4 KB	902 B
107	9a/9ae5f9	179479	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268010)	COMPLETED	0	2024-06-11 11:11:02.707	51s	7ms	69.8%	0	0	103.4 KB	901 B
116	28/b3dd80	195238	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268019)	COMPLETED	0	2024-06-11 11:11:20.273	39.8s	141ms	19.3%	3.2 MB	6.4 MB	103.4 KB	901 B
114	96/f0e773	187104	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268017)	COMPLETED	0	2024-06-11 11:11:12.171	49s	7ms	128.4%	0	0	103.4 KB	902 B
115	66/8e7939	193290	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268018)	COMPLETED	0	2024-06-11 11:11:18.553	43.7s	9ms	116.9%	0	0	103.4 KB	902 B
113	cf/a216bc	184170	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268016)	COMPLETED	0	2024-06-11 11:11:08.901	57.4s	10ms	98.6%	0	0	103.4 KB	901 B
117	0b/5a642f	197927	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268020)	COMPLETED	0	2024-06-11 11:11:23.514	45.7s	9ms	123.8%	0	0	103.4 KB	902 B
118	42/f6c5a0	200883	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268021)	COMPLETED	0	2024-06-11 11:11:27.659	46.1s	7ms	145.5%	0	0	103.4 KB	902 B
120	ac/7473c2	201464	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268023)	COMPLETED	0	2024-06-11 11:11:28.384	45.7s	8ms	116.9%	0	0	103.4 KB	902 B
123	4a/f80f71	201532	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268026)	COMPLETED	0	2024-06-11 11:11:28.394	48s	9ms	119.5%	0	0	103.4 KB	902 B
128	95/4cf06e	202065	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (ERS1268031)	COMPLETED	0	2024-06-11 11:11:28.481	49.9s	9ms	114.9%	0	0	103.4 KB	902 B
